title,circular_no,date,category,circular_type,url
Revised Prudential Regulations (PRs) for Microfinance Banks,ACFID Circular No. 01 of 2025 of 2025,May 16 2025,Agriculture Credit & Financial Inclusion Department / ACFID / 468,Microfinance,https://www.sbp.org.pk/circulars/acfid-circular-no-01-of-2025
FORMAT OF ANNUAL AND INTERIM FINANCIAL STATEMENTS OF MICROFINANCE BANKS (MFBs),BPRD Circular No. 03 of 2023,February 09 2023,Banking Policy & Regulations Department / BPRD / 5700,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-no-03-of-2023
Shareholding Returns-Banks/DFIs/MFBs,BPRD Circular Letter No. 30 of 2022,October 25 2022,Banking Policy & Regulations Department / BPRD / 5912,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-letter-no-30-of-2022
"Revision in Prudential Regulations for Microfinance Banks:
R-5: Maximum Loan Size and Eligibility of Borrowers,
R-8: Classification of Assets and Provisioning Requirements &
R-10: Charging-off Non-Performing Loans (NPLs)",AC&MFD Circular No. 02 of 2022,March 16 2022,Agriculture Credit & Financial Inclusion Department / ACFID / 8341,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-no-02-of-2022
Amendments in Prudential Regulations for Microfinance Banks,AC&MFD Circular Letter No. 02 of 2021,December 11 2021,Agriculture Credit & Financial Inclusion Department / ACFID / 8346,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-letter-no-02-of-2021
Regulatory Relief to Dampen the Effects of Covid-19 Prudential Regulations for Micro Finance Banks,AC&MFD Circular Letter No. 01 of 2021,December 01 2021,Agriculture Credit & Financial Inclusion Department / ACFID / 8347,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-letter-no-01-of-2021
Revision In Prudential Regulations For Microfinance Banks:R - 5: Maximum Loan Size And Eligibility Of Borrowers & R - 6: Maximum Exposure Of A Borrower From MFBs/MFIs/Other Financial Institutions,AC&MFD Circular No. 02 of 2020,August 10 2020,Agriculture Credit & Financial Inclusion Department / ACFID / 8348,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-no-02-of-2020
Regulatory Relief to Dampen The Effects Of Covid-19 - Prudential Regulations for Micro Finance Banks,AC&MFD Circular Letter No. 07 of 2020,August 10 2020,Agriculture Credit & Financial Inclusion Department / ACFID / 8350,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-letter-no-07-of-2020
REGULATORY RELIEF TO DAMPEN THE EFFECTS OF COVID-19 - PRUDENTIAL REGULATIONS FOR MICRO FINANCE BANKS,AC&MFD Circular Letter No. 04 of 2020,July 07 2020,Agriculture Credit & Financial Inclusion Department / ACFID / 8353,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-letter-no-04-of-2020
Regulatory Relief To Dampen The Effects Of Covid-19 - Prudential Regulations For Micro Finance Banks,AC&MFD Circular Letter No. 01 of 2020,March 26 2020,Agriculture Credit & Financial Inclusion Department / ACFID / 8356,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-letter-no-01-of-2020
